epoch,train_loss,train_top1,train_top5,eval_loss,eval_top1,eval_top5
1,2.5143,31.88,,1.638668026572974,52.19,85.91
2,1.5558,52.95,,1.4043706020181492,59.84,87.44
3,1.205,62.96,,1.2744123092455457,62.41,89.41
4,1.0421,67.7,,1.048021258540856,69.2,92.62
5,0.9304,71.02,,1.0118117995502414,68.78,94.2
6,0.8414,73.54,,1.0432642574689186,69.3,92.95
7,0.7726,75.74,,0.9204736960719723,72.35,94.89
8,0.7308,77.01,,1.0317959538263868,68.49,94.13
9,0.6988,78.04,,0.8820285183745761,73.3,94.88
10,0.6778,78.77,,0.8961658466231915,72.98,95.03
11,0.6587,79.15,,0.7532727487327516,76.73,96.02
12,0.6344,79.94,,1.2223612957222516,67.93,93.29
13,0.6193,80.54,,0.7138417717213779,78.49,96.57
14,0.6049,80.79,,0.7916550412196521,76.11,96.0
15,0.5991,81.09,,0.8383320951184561,73.89,95.43
16,0.5888,81.19,,0.7480381529691608,76.84,96.2
17,0.5759,81.79,,0.8086898777374002,75.87,95.49
18,0.5679,82.13,,1.0366205491067828,70.78,93.63
19,0.5575,82.27,,0.6747643219870191,79.43,96.14
20,0.5558,82.4,,0.752908646367317,77.73,95.52
21,0.5423,82.69,,0.6739480851232543,79.61,96.32
22,0.5417,82.82,,0.7108291231615599,78.69,96.12
23,0.5366,83.02,,0.8181421121423559,75.9,95.78
24,0.5314,83.15,,0.7327124673959821,76.99,96.36
25,0.5275,83.39,,0.7804361874049948,76.34,95.4
26,0.5212,83.47,,0.8698499098766682,75.71,95.01
27,0.5588,82.28,,0.6219010778175768,81.33,96.63
28,0.5125,83.77,,0.6339280529655227,81.05,96.51
29,0.5117,83.7,,0.6944815436767977,78.44,96.48
30,0.5095,83.84,,0.6262161943686101,81.04,96.59
31,0.5082,83.88,,0.6796263828873634,79.35,96.37
32,0.508,83.83,,0.6467196021893228,80.41,96.47
33,0.5055,83.97,,0.9511813956868741,72.58,95.85
34,0.4975,84.13,,0.6849231362458348,78.78,96.76
35,0.4991,84.22,,0.8060241943412974,76.36,95.34
36,0.3006,90.51,,0.3809413452625506,88.34,98.23
37,0.2424,92.44,,0.36429042015369084,89.02,98.2
38,0.2214,93.02,,0.36135189408479734,88.78,98.2
39,0.1983,93.82,,0.3656718387997659,88.78,98.21
40,0.1908,94.12,,0.36454844438694706,88.94,98.25
